case,num_errors,error_dict,fidelity,alpha,beta,alpha_rec,beta_rec
277,3,"{3: 'X', 2: 'Z', 8: 'Z'}",0.015455019847881352,0.9980321944847542,(-0.06228166825838577-0.007261719555184506j),(-0.0072617195551845076+0.06228166825838573j),-0.9980321944847543j
278,3,"{3: 'X', 6: 'X', 2: 'Z'}",0.0,0.8638598889527799,(0.4880216384601959+0.12482376637930995j),0j,0j
279,2,"{0: 'Y', 8: 'X'}",0.0,0.914585115485165,(-0.06704206987316944+0.3987974766721932j),0j,0j
280,3,"{7: 'Y', 8: 'Z', 2: 'Y'}",0.0,0.8818186055416081,(0.44098437243692795+0.1671189103215511j),0j,0j
281,3,"{5: 'Z', 4: 'X', 7: 'Z'}",0.0,0.6782277248033408,(-0.1643642062595572+0.7162342919804592j),0j,0j
282,1,{7: 'Z'},1.0,0.8587549251094364,(-0.5016323249241916-0.10442695624902877j),(0.8587549251094365+0j),(-0.5016323249241916-0.10442695624902877j)
283,3,"{3: 'X', 7: 'Y', 1: 'Y'}",0.0,0.08067357543378163,(-0.9944512326391188-0.0675168136782768j),0j,0j
284,3,"{3: 'Z', 0: 'Z', 7: 'X'}",0.20716633715547303,0.9140223414768472,(0.24898477225424248-0.3202651127842131j),(-0.3202651127842131-0.24898477225424254j),-0.9140223414768472j
285,2,"{8: 'Z', 0: 'Y'}",0.0,0.5058196347876633,(0.4069889952553828+0.7605961180575989j),0j,0j
286,1,{5: 'X'},1.0000000000000004,0.15336076634421647,(0.9775188830187473-0.14469730021011112j),(0.15336076634421655+0j),(0.9775188830187476-0.14469730021011118j)
287,2,"{4: 'Z', 1: 'Z'}",0.7423409027486709,0.500115397494367,(0.861393269196436+0.08880441977811482j),(0.861393269196436+0.08880441977811482j),(0.500115397494367+0j)
288,3,"{1: 'Z', 6: 'Z', 4: 'X'}",0.19640102486903502,0.9703271758235825,(0.22836191928658006-0.07947330166779208j),(-0.07947330166779208-0.2283619192865801j),-0.9703271758235825j
289,3,"{4: 'Y', 1: 'Z', 5: 'Y'}",0.0,0.9971105288068925,(0.00861829788588693-0.07547395765420803j),0j,0j
