case_num,num_errors,error_str,fidelity,alpha_orig,beta_orig,alpha_rec,beta_rec
647,1,q2a=Y,0.9999999999999996,0.8568542014919105,0.5155588010941724,(0.8568542014919103+0j),(0.5155588010941723+0j)
648,1,q2a=Z,0.9999999999999991,0.33456600485053345,0.9423723194143346,(0.3345660048505333+0j),(0.9423723194143343+0j)
649,1,q0b=Z,0.9999999999999991,0.5860393788662036,0.8102825719575327,(0.5860393788662034+0j),(0.8102825719575324+0j)
650,1,q1a=Y,0.9999999999999993,0.32754768493600306,0.9448346490752045,(0.32754768493600295+0j),(0.9448346490752042+0j)
651,2,q0=Y · q1b=Z,0.0035568977510083864,0.02983314544666826,0.9995548926561052,0.9995548926561048j,0.02983314544666823j
652,1,q1a=X,0.9999999999999996,0.8636972126809589,0.504011036394187,(0.8636972126809587+0j),(0.5040110363941869+0j)
653,1,q2b=X,0.9999999999999991,0.7578416038836946,0.652438582107917,(0.7578416038836944+0j),(0.6524385821079168+0j)
654,1,q2a=X,0.9999999999999991,0.729185257683461,0.6843163449583128,(0.7291852576834607+0j),(0.6843163449583126+0j)
655,1,q2b=X,0.9999999999999993,0.9789283127935992,0.20420420762334296,(0.9789283127935988+0j),(0.20420420762334285+0j)
656,2,q0=X · q2a=X,0.9999999999999996,0.9140923287892726,0.40550612134541736,(0.9140923287892724+0j),(0.4055061213454172+0j)
657,1,q2=Y,0.9999999999999996,0.10956956130105044,0.9939791301814618,(0.10956956130105043+0j),(0.9939791301814616+0j)
658,2,q1a=X · q2a=Z,0.9999999999999993,0.9184794645217621,0.3954686754369013,(0.9184794645217618+0j),(0.3954686754369011+0j)
659,1,q1a=Z,0.9999999999999991,0.22507378958615593,0.9743417209795169,(0.22507378958615584+0j),(0.9743417209795165+0j)
660,1,q1=X,0.9999999999999991,0.03686284411389282,0.9993203343892462,(0.03686284411389282+0j),(0.9993203343892458+0j)
661,1,q0a=Y,0.9999999999999991,0.9988093204864453,0.04878464214694253,(0.998809320486445+0j),(0.04878464214694259+0j)
662,1,q1=Y,0.9999999999999991,0.48170558481135567,0.8763331156367137,(0.48170558481135556+0j),(0.8763331156367133+0j)
663,1,q0a=Y,0.9999999999999993,0.9155728549526005,0.4021521444353421,(0.9155728549526003+0j),(0.402152144435342+0j)
664,1,q1=Y,0.9999999999999993,0.43039046348346915,0.9026428135993133,(0.430390463483469+0j),(0.902642813599313+0j)
665,1,q1a=X,0.9999999999999993,0.22943746591864542,0.9733234042356274,(0.2294374659186454+0j),(0.973323404235627+0j)
666,1,q1b=Y,0.9999999999999993,0.15629284929794443,0.9877107599182718,(0.15629284929794443+0j),(0.9877107599182715+0j)
667,1,q1=Y,0.9999999999999991,0.7130789167676742,0.7010837742106434,(0.7130789167676739+0j),(0.701083774210643+0j)
668,1,q0a=Y,0.9999999999999991,0.38687225553211985,0.9221333189401032,(0.3868722555321198+0j),(0.9221333189401029+0j)
669,1,q0a=X,0.9999999999999993,0.09894364417890184,0.9950930385027316,(0.09894364417890181+0j),(0.9950930385027312+0j)
670,1,q1b=Z,0.9999999999999996,0.4348728767943794,0.900491855059545,(0.43487287679437925+0j),(0.9004918550595447+0j)
671,1,q2b=X,0.9999999999999991,0.9674575278089338,0.25303346001235905,(0.9674575278089333+0j),(0.25303346001235894+0j)
